# CS 330 Scene Configuration

# plane (desk surface)
plane,20.0,1.0,10.0,0.0,0.0,0.0,0.0,-0.01,0.0,TEXTURE,wood,wood,1.0,1.0,0,0,0,0

# monitor box
box,2.0,3.0,1.0,0.0,0.0,0.0,2.0,1.5,-2.0,TEXTURE,brick,brick,2.0,2.0,0,0,0,0

# antenna
cylinder,0.3,1.5,0.3,0.0,0.0,0.0,2.6,2.2,-2.0,TEXTURE,wood,wood,1.0,2.0,0,0,0,0

# picture frame
box,2.0,2.5,0.2,0.0,0.0,0.0,-6.0,1.25,-1.0,COLOR,-,-,0,0,1.0,1.0,1.0,1.0

# picture inside frame
plane,0.7,1.0,1.0,90.0,0.0,0.0,-6.0,1.25,-0.85,COLOR,-,-,0,0,0.9,0.9,0.85,1.0

# mug
cylinder,0.7,1.0,0.7,0.0,0.0,0.0,-2.5,0.0,-1.0,COLOR,-,-,0,0,0.9,0.4,0.6,1.0

# mug handle
torus,0.3,0.7,0.15,0.0,0.0,90.0,-1.7,0.5,-1.0,COLOR,-,-,0,0,0.9,0.4,0.6,1.0

# candle
cylinder,0.8,1.2,0.8,0.0,0.0,0.0,4.5,0.0,-1.0,COLOR,-,-,0,0,0.95,0.9,0.7,1.0

# flame
cylinder,0.15,0.6,0.15,0.0,0.0,0.0,4.5,1.2,-1.0,COLOR,-,-,0,0,1.0,0.0,0.0,1.0
